class,hash,time,token,type,amount,from,to,px
PERP,0x490dd134472d9c2f4a87042fb1beb90212b00101e220bb01ecd67c8706217619,1763437883086,ETH-USD,Open Long,37.248,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x9a6aeb09aade88d79be4042fb1beb90212b000ef45d1a7a93e33965c69d262c2,1763437883086,ETH-USD,Open Long,10.0526,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xe797746e914d465be911042fb1beb90212af00542c40652d8b601fc150412046,1763437883086,ETH-USD,Open Long,5.5784,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x03cf3630de5474fa0548042fb1beb90212a80016795793cca797e1839d584ee4,1763437883086,ETH-USD,Open Long,11.6906,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x3c3eb9b57872d2363db8042fb1beb902129a009b1375f108e00765083776ac20,1763437883086,ETH-USD,Open Long,7.4764,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x896b431a5ee18fba8ae4042fb1beb902129900fff9e4ae8c2d33ee6d1de569a5,1763437883086,ETH-USD,Open Long,7.0772,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x58767b77c58a00d459f0042fb1beb9021293005d608d1fa6fc3f26ca848ddabe,1763437883086,ETH-USD,Open Long,1.1977,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x3ffc17a678d639614175042fb1beb9021290008c13d95833e3c4c2f937da134b,1763437883086,ETH-USD,Open Long,0.9528,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x8d28a10b5f44f6e58ea2042fb1beb902128f00f0fa4815b730f14c5e1e48d0d0,1763437883086,ETH-USD,Open Long,32.2095,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x2781b3d52c2271ee28fb042fb1beb902128d00bac72590c0cb4a5f27eb264bd8,1763437883086,ETH-USD,Open Long,13.085,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
